id_especies,species
567,Phrygilus unicolor
568,Phyllomyias cinereiceps
569,Phyllomyias griseiceps
570,Phyllomyias nigrocapillus
571,Phyllomyias uropygialis
572,Phylloscartes superciliaris
573,Phytotoma raimondii
574,Piaya cayana
575,Picoides fumigatus
576,Piculus leucolaemus
577,Piculus rubiginosus
578,Picumnus olivaceus
579,Picumnus sclateri
580,Piezorina cinerea
581,Pionus chalcopterus
582,Pionus menstruus
583,Pionus sordidus
584,Pionus tumultuosus
585,Pipra mentalis
586,Pipraeidea bonariensis
587,Pipraeidea melanonota
588,Pipreola arcuata
589,Pipreola lubomirskii
590,Pipreola riefferii
591,Piranga flava
592,Piranga leucoptera
593,Piranga rubra
594,Pittasoma rufopileatum
595,Platalea ajaja
596,Platyrinchus coronatus
597,Platyrinchus mystaceus
598,Plegadis ridgwayi
599,Pluvialis dominica
600,Pluvialis squatarola
601,Podiceps major
602,Podiceps occipitalis
603,Podilymbus podiceps
604,Poecilotriccus ruficeps
605,Polioptila plumbea
606,Polyonymus caroli
607,Poospiza hispaniolensis
608,Porphyrio martinicus
609,Premnoplex brunnescens
610,Procellaria parkinsoni
611,Progne chalybea
612,Progne subis
613,Progne tapera
614,Psarocolius angustifrons
615,Psarocolius wagleri
616,Pseudastur occidentalis
617,Pseudelaenia leucospodia
618,Pseudocolaptes boissonneautii
619,Pseudocolaptes johnsoni
620,Pseudocolaptes lawrencii
621,Pseudoscops clamator
622,Pseudotriccus pelzelni
623,Pseudotriccus ruficeps
624,Psittacara erythrogenys
625,Psittacara wagleri
626,Pterodroma phaeopygia
627,Pteroglossus torquatus 
628,Pterophanes cyanopterus
629,Puffinus lherminieri
630,Pulsatrix perspicillata
631,Pygochelidon cyanoleuca
632,Pyriglena leuconota
633,Pyrilia pulchra
634,Pyrocephalus rubinus
635,Pyrrhomyias cinnamomeus
636,Pyrrhura orcesi
637,Querula purpurata
638,Quiscalus mexicanus
639,Rallus longirostris
640,Ramphastos ambiguus
641,Ramphastos brevis
642,Ramphocaenus melanurus
643,Ramphocelus flammigerus
644,Rhodopis vesper
645,Rhodospingus cruentus
646,Rhynchocyclus pacificus
647,Rhynchortyx cinctus
648,Rhynchospiza stolzmanni
649,Rhytipterna holerythra
650,Riparia riparia
651,Rollandia rolland
652,Rostrhamus sociabilis
653,Rupornis magnirostris
654,Rynchops niger
655,Saltator atripennis
656,Saltator aurantiirostris
657,Saltator grossus
658,Saltator maximus
659,Saltator nigriceps
660,Saltator striatipectus
661,Sarcoramphus papa
662,Sarkidiornis melanotos
663,Sayornis nigricans
664,Schiffornis turdina
665,Schiffornis veraepacis 
