id_aves,codigo,sinonimo,nombre,morfometria,endenismo,migraciòn,ecologia,behaviour,anio_publicacion,anio_colleccion,familia_id_familia,especies_id_especies,uicn_id_UICN
21401,UTPL_A0652,,Vermilion Flycatcher,,,MA - C,,,,,81,634,1
21402,UTPL_A0798,,Common Tody-Flycatcher,,,,,,,,81,775,8
21403,UTPL_A0798,,Common Tody-Flycatcher,,,,,,,,81,775,8
21404,UTPL_A0830,,Snowy-throated Kingbird,,BT,MI,,,,,81,808,1
21405,UTPL_A0453,,Sooty-crowned Flycatcher,,BT - RM,,,,,,81,429,1
21406,UTPL_A0453,,Sooty-crowned Flycatcher,,BT - RM,,,,,,81,429,1
21407,UTPL_A0473,Brasileuterus fraseri,Grey-and-gold Warbler,,BT,,,,,,48,450,4
21408,UTPL_A0466,,Bran-colored Flycatcher,,,,,,,,81,443,1
21409,UTPL_A0720,, Northern Rough-winged Swallow,,,,,,,,35,704,8
21410,UTPL_A0807,,House Wren,,,,,,,,78,784,1
21411,UTPL_A0807,,House Wren,,,,,,,,78,784,1
21412,UTPL_A0122,Campylorhynchus fasciatus,Fasciated Wren,,BT,,,,,,78,123,1
21413,UTPL_A0122,Campylorhynchus fasciatus,Fasciated Wren,,BT,,,,,,78,123,1
21414,UTPL_A0289,,Masked Water-Tyrant,,,,,,,,81,277,8
21415,UTPL_A0289,,Masked Water-Tyrant,,,,,,,,81,277,8
21416,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21417,UTPL_A0016,,Amazilia Hummingbird,,,,,,,,77,17,1
21418,UTPL_A0680,,Streaked Saltator,,,,,,,,38,660,1
21419,UTPL_A0840,,Blue-black Grassquit,,,,,,,,73,820,1
21420,UTPL_A0840,,Blue-black Grassquit,,,,,,,,73,820,1
21421,UTPL_A0073,,Ochraceous Attila,,BT,,,,,,81,75,2
21422,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21423,UTPL_A0296,,Pale-legged Hornero,,,,,,,,31,284,8
21424,UTPL_A0932,,Rose-throated Becard,,,,,,,,76,505,8
21425,UTPL_A0462,,Streaked Flycatcher,,,MA - C,,,,,81,439,1
21426,UTPL_A0829,,Tropical Kingbird,,,MA ? C,,,,,81,807,8
21427,UTPL_A0420,,Boat-billed Flycatcher,,,,,,,,81,394,1
21428,UTPL_A0420,,Boat-billed Flycatcher,,,,,,,,81,394,1
21429,UTPL_A0119,,Southern Beardless-Tyrannulet,,,,,,,,81,120,1
21430,UTPL_A0119,,Southern Beardless-Tyrannulet,,,,,,,,81,120,1
21431,UTPL_A0281,,Tawny-crowned Pygmy-Tyrant,,,,,,,,81,269,1
21432,UTPL_A0903,,White-necked Puffbird,,,,,,,,9,473,8
21433,UTPL_A0766,,Great Antshrike,,,,,,,,71,749,8
21434,UTPL_A0930,,Barred Becard,,,,,,,,76,511,8
21435,UTPL_A0523,,Cinnamon Becard,,,,,,,,76,507,8
21436,UTPL_A0238,,Violet-bellied Hummingbird,,,,,,,,77,231,8
21437,UTPL_A0262,,Yellow-bellied Elaenia,,,,,,,,81,252,8
21438,UTPL_A0230,,Rufous-browed Peppershrike,,,,,,,,83,224,1
21439,UTPL_A0835,,Scarlet-backed Woodpecker,,BT,,,,,,55,814,1
21440,UTPL_A0293,,Magnificent Frigatebird,,,,,,,,29,281,8
21441,UTPL_A0398,,Laughing Gull,,,MB,,,,,40,373,8
21442,UTPL_A0330,,American Oystercatcher,,,,,,,,34,314,8
21443,UTPL_A0437,,Long-tailed Mockingbird,,,,,,,,42,412,1
21444,UTPL_A0317,,Peruvian Pygmy-Owl,,BT,,,,,,69,300,1
21445,UTPL_A0496,,Black-crowned Night-Heron,,,MB - C ?,,,,,8,479,8
21446,UTPL_A0038,,Black-throated Mango,,,,,,,,77,42,8
21447,UTPL_A0678,,Buff-throated Saltator,,,,,,,,38,658,8
21448,UTPL_A0053,,Orange-billed Sparrow,,,,,,,,25,59,8
21449,UTPL_A0053,,Orange-billed Sparrow,,,,,,,,25,59,8
21450,UTPL_A0103,,Yellow-rumped Cacique,,,,,,,,37,104,1
21451,UTPL_A0365,, Yellow-tailed Oriole,,,,,,,,37,343,8
21452,UTPL_A0365,, Yellow-tailed Oriole,,,,,,,,37,343,8
21454,UTPL_A0937,,Flame-rumped Tanager,,,,,,,,73,643,8
21455,UTPL_A0942,,Red-breasted Meadowlark,,,,,,,,37,712,8
